,sabah
2025-01-05 21:00:00,-3075.717864664406
2025-01-05 22:00:00,-2715.8303561968437
2025-01-05 23:00:00,-2402.16568344745
2025-01-06 00:00:00,-1946.3645179723605
2025-01-06 01:00:00,-1918.0523029651772
2025-01-06 02:00:00,-1832.8368999776196
2025-01-06 03:00:00,-1700.333705386119
2025-01-06 04:00:00,-1634.164247593914
2025-01-06 05:00:00,-1727.5031537824532
2025-01-06 06:00:00,-1920.6912625618384
2025-01-06 07:00:00,-2129.3015886418743
2025-01-06 08:00:00,-2341.0764283942076
2025-01-06 09:00:00,-2525.999589445737
2025-01-06 10:00:00,-2603.055584233434
2025-01-06 11:00:00,-2526.6275136081445
2025-01-06 12:00:00,-2347.058815239699
2025-01-06 13:00:00,-2163.874314991908
2025-01-06 14:00:00,-2042.8140966497356
2025-01-06 15:00:00,-1996.0490287936311
2025-01-06 16:00:00,-2027.3782350551414
2025-01-06 17:00:00,-2171.5562588036246
2025-01-06 18:00:00,-2453.71778060906
2025-01-06 19:00:00,-2778.650182952683
2025-01-06 20:00:00,-2928.4850694548495
2025-01-06 21:00:00,-2778.624285183534
2025-01-06 22:00:00,-2453.4994801906437
2025-01-06 23:00:00,-2170.1326970670857
2025-01-07 00:00:00,-1860.1130520749591
2025-01-07 01:00:00,-1833.055468471412
2025-01-07 02:00:00,-1751.616312613746
2025-01-07 03:00:00,-1624.984882876195
2025-01-07 04:00:00,-1561.7476675696673
2025-01-07 05:00:00,-1650.9503405862165
2025-01-07 06:00:00,-1835.5774848482627
2025-01-07 07:00:00,-2034.9434241448396
2025-01-07 08:00:00,-2237.333644418056
2025-01-07 09:00:00,-2414.062094986632
2025-01-07 10:00:00,-2487.7034197856133
2025-01-07 11:00:00,-2414.662193231037
2025-01-07 12:00:00,-2243.050926947153
2025-01-07 13:00:00,-2067.9840899274786
2025-01-07 14:00:00,-1952.2885508103216
2025-01-07 15:00:00,-1907.5958366259656
2025-01-07 16:00:00,-1937.5367161169727
2025-01-07 17:00:00,-2075.325615020819
2025-01-07 18:00:00,-2344.983392203478
2025-01-07 19:00:00,-2655.5166952206814
2025-01-07 20:00:00,-2798.711777881352
2025-01-07 21:00:00,-2655.4919450888483
2025-01-07 22:00:00,-2344.774765579934
2025-01-07 23:00:00,-2073.9651371955615
2025-01-08 00:00:00,-2317.7809489345636
2025-01-08 01:00:00,-2284.066034816549
2025-01-08 02:00:00,-2182.5893403040022
2025-01-08 03:00:00,-2024.801126810937
2025-01-08 04:00:00,-1946.0048338987167
2025-01-08 05:00:00,-2057.1552050447954
2025-01-08 06:00:00,-2287.208575806004
2025-01-08 07:00:00,-2535.627119750197
2025-01-08 08:00:00,-2787.814047999882
2025-01-08 09:00:00,-3008.0253063455184
2025-01-08 10:00:00,-3099.7855676280155
2025-01-08 11:00:00,-3008.773054594917
2025-01-08 12:00:00,-2794.9380281853005
2025-01-08 13:00:00,-2576.797211861367
2025-01-08 14:00:00,-2432.6355889195083
2025-01-08 15:00:00,-2376.94654282786
2025-01-08 16:00:00,-2414.2541677602217
2025-01-08 17:00:00,-2585.945068212618
2025-01-08 18:00:00,-2921.9502685356906
2025-01-08 19:00:00,-3308.888133919796
2025-01-08 20:00:00,-3487.3153720931878
2025-01-08 21:00:00,-3308.8572941899306
2025-01-08 22:00:00,-2921.690310780462
2025-01-08 23:00:00,-2584.2498542677918
2025-01-09 00:00:00,-2461.63983292515
2025-01-09 01:00:00,-2425.832318157758
2025-01-09 02:00:00,-2318.0572182543397
2025-01-09 03:00:00,-2150.4754838030426
2025-01-09 04:00:00,-2066.788501472498
2025-01-09 05:00:00,-2184.8376989962658
2025-01-09 06:00:00,-2429.1699088303353
2025-01-09 07:00:00,-2693.0071723523233
2025-01-09 08:00:00,-2960.8467143969788
2025-01-09 09:00:00,-3194.725936439673
2025-01-09 10:00:00,-3292.181528330894
2025-01-09 11:00:00,-3195.5200955583605
2025-01-09 12:00:00,-2968.4128622684843
2025-01-09 13:00:00,-2736.7325894210253
2025-01-09 14:00:00,-2583.623214017821
2025-01-09 15:00:00,-2524.477687698856
2025-01-09 16:00:00,-2564.1009038822267
2025-01-09 17:00:00,-2746.4482304053327
2025-01-09 18:00:00,-3103.3084356656623
2025-01-09 19:00:00,-3514.2625695040606
2025-01-09 20:00:00,-3703.7643414330887
2025-01-09 21:00:00,-3514.2298156290626
2025-01-09 22:00:00,-3103.0323429807845
2025-01-09 23:00:00,-2744.647798758057
2025-01-10 00:00:00,-2331.437356313819
2025-01-10 01:00:00,-2297.5237933104713
2025-01-10 02:00:00,-2195.4491962737875
2025-01-10 03:00:00,-2036.7312917656604
2025-01-10 04:00:00,-1957.4707296667946
2025-01-10 05:00:00,-2069.2760008151463
2025-01-10 06:00:00,-2300.6848502084194
2025-01-10 07:00:00,-2550.5670807180845
2025-01-10 08:00:00,-2804.239898921902
2025-01-10 09:00:00,-3025.7486459947845
2025-01-10 10:00:00,-3118.049560400639
2025-01-10 11:00:00,-3026.500799990425
2025-01-10 12:00:00,-2811.405853727751
2025-01-10 13:00:00,-2591.979747758508
2025-01-10 14:00:00,-2446.968721920204
2025-01-10 15:00:00,-2390.9515549591792
2025-01-10 16:00:00,-2428.478997094139
2025-01-10 17:00:00,-2601.1815034452575
2025-01-10 18:00:00,-2939.166452501388
2025-01-10 19:00:00,-3328.3841628046503
2025-01-10 20:00:00,-3507.8626975007664
2025-01-10 21:00:00,-3328.3531413665373
2025-01-10 22:00:00,-2938.9049630703516
2025-01-10 23:00:00,-2599.4763012691296
2025-01-11 00:00:00,-2438.2202459467285
2025-01-11 01:00:00,-2402.7533972651536
2025-01-11 02:00:00,-2296.0036497681017
2025-01-11 03:00:00,-2130.0162570046027
2025-01-11 04:00:00,-2047.1254571762415
2025-01-11 05:00:00,-2164.05155642537
2025-01-11 06:00:00,-2406.0592347161555
2025-01-11 07:00:00,-2667.3863992144948
2025-01-11 08:00:00,-2932.677765296413
2025-01-11 09:00:00,-3164.331903592162
2025-01-11 10:00:00,-3260.8603209713756
2025-01-11 11:00:00,-3165.1185072275866
2025-01-11 12:00:00,-2940.1719302336974
2025-01-11 13:00:00,-2710.695820736442
2025-01-11 14:00:00,-2559.043099668493
2025-01-11 15:00:00,-2500.460272969304
2025-01-11 16:00:00,-2539.706521187922
2025-01-11 17:00:00,-2720.3190289058275
2025-01-11 18:00:00,-3073.7841320458356
2025-01-11 19:00:00,-3480.828524112573
2025-01-11 20:00:00,-3668.5274111634403
2025-01-11 21:00:00,-3480.796081851896
2025-01-11 22:00:00,-3073.510666055797
2025-01-11 23:00:00,-2718.535726232904
2025-01-12 00:00:00,-2153.9119913306254
2025-01-12 01:00:00,-2122.580748471435
2025-01-12 02:00:00,-2028.2785370171375
2025-01-12 03:00:00,-1881.6460757875386
2025-01-12 04:00:00,-1808.4207434911243
2025-01-12 05:00:00,-1911.7126949425501
2025-01-12 06:00:00,-2125.5011093120684
2025-01-12 07:00:00,-2356.3562645053375
2025-01-12 08:00:00,-2590.7133762347808
2025-01-12 09:00:00,-2795.355523368964
2025-01-12 10:00:00,-2880.6282611550146
2025-01-12 11:00:00,-2796.0504052220635
2025-01-12 12:00:00,-2597.333685351752
2025-01-12 13:00:00,-2394.615598340659
2025-01-12 14:00:00,-2260.6463168661135
2025-01-12 15:00:00,-2208.894530651068
2025-01-12 16:00:00,-2243.564476810915
2025-01-12 17:00:00,-2403.116693967917
2025-01-12 18:00:00,-2715.3660592317037
2025-01-12 19:00:00,-3074.9471096039624
2025-01-12 20:00:00,-3240.759400044237
2025-01-12 21:00:00,-3074.9184502675407
2025-01-12 22:00:00,-2715.1244806966456
2025-01-12 23:00:00,-2401.5413329980593
2025-01-13 00:00:00,-2453.2193877469795
2025-01-13 01:00:00,-2417.5343584914935
2025-01-13 02:00:00,-2310.1279210983944
2025-01-13 03:00:00,-2143.119427617989
2025-01-13 04:00:00,-2059.718710417467
2025-01-13 05:00:00,-2177.364101184949
2025-01-13 06:00:00,-2420.8605323845286
2025-01-13 07:00:00,-2683.795297017877
2025-01-13 08:00:00,-2950.7186497198977
2025-01-13 09:00:00,-3183.7978492974103
2025-01-13 10:00:00,-3280.9200782580147
2025-01-13 11:00:00,-3184.58929186381
2025-01-13 12:00:00,-2958.258916334318
2025-01-13 13:00:00,-2727.371144083528
2025-01-13 14:00:00,-2574.785504559393
2025-01-13 15:00:00,-2515.84229527123
2025-01-13 16:00:00,-2555.329973706474
2025-01-13 17:00:00,-2737.0535511149305
2025-01-13 18:00:00,-3092.6930571671646
2025-01-13 19:00:00,-3502.241454590169
2025-01-13 20:00:00,-3691.0950044436713
2025-01-13 21:00:00,-3502.2088127552042
2025-01-13 22:00:00,-3092.417908902866
2025-01-13 23:00:00,-2735.2592781411454
2025-01-14 00:00:00,-1889.8852099317628
2025-01-14 01:00:00,-1862.3945544515523
2025-01-14 02:00:00,-1779.6519190009574
2025-01-14 03:00:00,-1650.9936818542697
2025-01-14 04:00:00,-1586.7443192729133
2025-01-14 05:00:00,-1677.3747313504484
2025-01-14 06:00:00,-1864.9569371220566
2025-01-14 07:00:00,-2067.5138406502892
2025-01-14 08:00:00,-2273.1434304768377
2025-01-14 09:00:00,-2452.7005195102897
2025-01-14 10:00:00,-2527.520515220834
2025-01-14 11:00:00,-2453.310222665343
2025-01-14 12:00:00,-2278.9522213353775
2025-01-14 13:00:00,-2101.0833409122515
2025-01-14 14:00:00,-1983.5360294793832
2025-01-14 15:00:00,-1938.127983213323
2025-01-14 16:00:00,-1968.5480833568515
2025-01-14 17:00:00,-2108.5423712527827
2025-01-14 18:00:00,-2382.5161731526714
2025-01-14 19:00:00,-2698.0197367177
2025-01-14 20:00:00,-2843.5067373886964
2025-01-14 21:00:00,-2697.9945904460574
2025-01-14 22:00:00,-2382.304207342425
2025-01-14 23:00:00,-2107.1601182130944
2025-01-15 00:00:00,-2151.97452707406
2025-01-15 01:00:00,-2120.67146696486
2025-01-15 02:00:00,-2026.4540812438067
2025-01-15 03:00:00,-1879.9535173032466
2025-01-15 04:00:00,-1806.7940518874527
2025-01-15 05:00:00,-1909.9930912492791
2025-01-15 06:00:00,-2123.589200913231
2025-01-15 07:00:00,-2354.2366997057593
2025-01-15 08:00:00,-2588.3830049913577
2025-01-15 09:00:00,-2792.841074574065
2025-01-15 10:00:00,-2878.0371087240414
2025-01-15 11:00:00,-2793.535331374349
2025-01-15 12:00:00,-2594.997359077514
2025-01-15 13:00:00,-2392.4616189075755
2025-01-15 14:00:00,-2258.612844071824
2025-01-15 15:00:00,-2206.9076090791177
2025-01-15 16:00:00,-2241.5463692937014
2025-01-15 17:00:00,-2400.955067718721
2025-01-15 18:00:00,-2712.923561718144
2025-01-15 19:00:00,-3072.181165526551
2025-01-15 20:00:00,-3237.844306239576
2025-01-15 21:00:00,-3072.1525319694742
2025-01-15 22:00:00,-2712.682200485268
2025-01-15 23:00:00,-2399.3811238009903
2025-01-16 00:00:00,-2196.4843764434204
2025-01-16 01:00:00,-2164.5338669928215
2025-01-16 02:00:00,-2068.3677585551845
2025-01-16 03:00:00,-1918.8370853119895
2025-01-16 04:00:00,-1844.1644436273168
2025-01-16 05:00:00,-1949.4979755861825
2025-01-16 06:00:00,-2167.511949192023
2025-01-16 07:00:00,-2402.929990246794
2025-01-16 08:00:00,-2641.919204520179
2025-01-16 09:00:00,-2850.606133582858
2025-01-16 10:00:00,-2937.5642994863356
2025-01-16 11:00:00,-2851.3147498772805
2025-01-16 12:00:00,-2648.6703650138206
2025-01-16 13:00:00,-2441.945525403596
2025-01-16 14:00:00,-2305.3283215129186
2025-01-16 15:00:00,-2252.5536536843774
2025-01-16 16:00:00,-2287.908856394026
2025-01-16 17:00:00,-2450.614646427611
2025-01-16 18:00:00,-2769.035666003524
2025-01-16 19:00:00,-3135.723888357426
2025-01-16 20:00:00,-3304.813482937086
2025-01-16 21:00:00,-3135.694662565035
2025-01-16 22:00:00,-2768.7893126334357
2025-01-16 23:00:00,-2449.0081482180844
2025-01-17 00:00:00,-2053.384255805257
2025-01-17 01:00:00,-2023.5153098776525
2025-01-17 02:00:00,-1933.614386781789
2025-01-17 03:00:00,-1793.8255799546237
2025-01-17 04:00:00,-1724.0178324381254
2025-01-17 05:00:00,-1822.4889249040395
2025-01-17 06:00:00,-2026.2993711557192
2025-01-17 07:00:00,-2246.3800164900226
2025-01-17 08:00:00,-2469.799174467756
2025-01-17 09:00:00,-2664.890229576243
2025-01-17 10:00:00,-2746.183104087387
2025-01-17 11:00:00,-2665.5526797889465
2025-01-17 12:00:00,-2476.1104994262823
2025-01-17 13:00:00,-2282.853704389645
2025-01-17 14:00:00,-2155.1370593045162
2025-01-17 15:00:00,-2105.8006409868285
2025-01-17 16:00:00,-2138.852465704265
2025-01-17 17:00:00,-2290.9580354804066
2025-01-17 18:00:00,-2588.6340468952226
2025-01-17 19:00:00,-2931.4326712086404
2025-01-17 20:00:00,-3089.506143095824
2025-01-17 21:00:00,-2931.4053494654927
2025-01-17 22:00:00,-2588.4037433533767
2025-01-17 23:00:00,-2289.4562000174274
2025-01-18 00:00:00,-2236.2053248195643
2025-01-18 01:00:00,-2203.67702635754
2025-01-18 02:00:00,-2105.7718620587493
2025-01-18 03:00:00,-1953.537094847829
2025-01-18 04:00:00,-1877.514082462924
2025-01-18 05:00:00,-1984.752452821774
2025-01-18 06:00:00,-2206.708963822257
2025-01-18 07:00:00,-2446.3842752477335
2025-01-18 08:00:00,-2689.6953405410554
2025-01-18 09:00:00,-2902.156137892977
2025-01-18 10:00:00,-2990.6868443780213
2025-01-18 11:00:00,-2902.8775687157195
2025-01-18 12:00:00,-2696.5685881755494
2025-01-18 13:00:00,-2486.1053624560095
2025-01-18 14:00:00,-2347.0175901600965
2025-01-18 15:00:00,-2293.2885518480375
2025-01-18 16:00:00,-2329.2831136156055
2025-01-18 17:00:00,-2494.9312547789036
2025-01-18 18:00:00,-2819.110560193814
2025-01-18 19:00:00,-3192.4299264367723
2025-01-18 20:00:00,-3364.5773160680483
2025-01-18 21:00:00,-3192.4001721288105
2025-01-18 22:00:00,-2818.8597518002343
2025-01-18 23:00:00,-2493.2957048569533
2025-01-19 00:00:00,-2360.7257132286354
2025-01-19 01:00:00,-2326.38611581574
2025-01-19 02:00:00,-2223.0292208773562
2025-01-19 03:00:00,-2062.3174448103746
2025-01-19 04:00:00,-1982.0611829446952
2025-01-19 05:00:00,-2095.2709922323556
2025-01-19 06:00:00,-2329.5868830504915
2025-01-19 07:00:00,-2582.608224261123
2025-01-19 08:00:00,-2839.4677718956154
2025-01-19 09:00:00,-3063.7591917374893
2025-01-19 10:00:00,-3157.219623518907
2025-01-19 11:00:00,-3064.5207945628927
2025-01-19 12:00:00,-2846.723748010174
2025-01-19 13:00:00,-2624.5411321605984
2025-01-19 14:00:00,-2477.708425516746
2025-01-19 15:00:00,-2420.987550701479
2025-01-19 16:00:00,-2458.986426099001
2025-01-19 17:00:00,-2633.858483620945
2025-01-19 18:00:00,-2976.0893215031183
2025-01-19 19:00:00,-3370.1965250565668
2025-01-19 20:00:00,-3551.9297338353867
2025-01-19 21:00:00,-3370.1651139159603
2025-01-19 22:00:00,-2975.8245471475416
2025-01-19 23:00:00,-2632.1318600800905
2025-01-20 00:00:00,-2114.0800835270834
2025-01-20 01:00:00,-2083.3282437177672
2025-01-20 02:00:00,-1990.7699461315556
2025-01-20 03:00:00,-1846.8491326852516
2025-01-20 04:00:00,-1774.9779433142
2025-01-20 05:00:00,-1876.359735249535
2025-01-20 06:00:00,-2086.194598849613
2025-01-20 07:00:00,-2312.7805910990655
2025-01-20 08:00:00,-2542.803778831111
2025-01-20 09:00:00,-2743.6615154739757
2025-01-20 10:00:00,-2827.357319827593
2025-01-20 11:00:00,-2744.3435470017057
2025-01-20 12:00:00,-2549.301659760004
2025-01-20 13:00:00,-2350.332401941764
2025-01-20 14:00:00,-2218.8405903404905
2025-01-20 15:00:00,-2168.045840617876
2025-01-20 16:00:00,-2202.074641687045
2025-01-20 17:00:00,-2358.6762883336323
2025-01-20 18:00:00,-2665.151282137971
2025-01-20 19:00:00,-3018.0826646946566
2025-01-20 20:00:00,-3180.828618213045
2025-01-20 21:00:00,-3018.0545353501984
2025-01-20 22:00:00,-2664.9141710713966
2025-01-20 23:00:00,-2357.1300602313945
2025-01-21 00:00:00,-2247.6762660394393
2025-01-21 01:00:00,-2214.981108928301
2025-01-21 02:00:00,-2116.5737258160907
2025-01-21 03:00:00,-1963.558048173147
2025-01-21 04:00:00,-1887.1450646631642
2025-01-21 05:00:00,-1994.9335298765648
2025-01-21 06:00:00,-2218.028599158256
2025-01-21 07:00:00,-2458.9333600348637
2025-01-21 08:00:00,-2703.4925249088224
2025-01-21 09:00:00,-2917.0431708944543
2025-01-21 10:00:00,-3006.028008544904
2025-01-21 11:00:00,-2917.768302401777
2025-01-21 12:00:00,-2710.401029869077
2025-01-21 13:00:00,-2498.8582023507315
2025-01-21 14:00:00,-2359.056959049852
2025-01-21 15:00:00,-2305.0523098028593
2025-01-21 16:00:00,-2341.231510922498
2025-01-21 17:00:00,-2507.7293683749826
2025-01-21 18:00:00,-2833.571598797647
2025-01-21 19:00:00,-3208.8059611542817
2025-01-21 20:00:00,-3381.8364059172577
2025-01-21 21:00:00,-3208.7760542172605
2025-01-21 22:00:00,-2833.3195038458484
2025-01-21 23:00:00,-2506.085428661268
2025-01-22 00:00:00,-2400.7054229605046
2025-01-22 01:00:00,-2365.7842725407586
2025-01-22 02:00:00,-2260.6769926951965
2025-01-22 03:00:00,-2097.2435068922437
2025-01-22 04:00:00,-2015.628077362327
2025-01-22 05:00:00,-2130.7551340831637
2025-01-22 06:00:00,-2369.0392458801193
2025-01-22 07:00:00,-2626.345591367565
2025-01-22 08:00:00,-2887.5551446375034
2025-01-22 09:00:00,-3115.6450175611467
2025-01-22 10:00:00,-3210.6882342095646
2025-01-22 11:00:00,-3116.41951839487
2025-01-22 12:00:00,-2894.9340032272494
2025-01-22 13:00:00,-2668.98864762381
2025-01-22 14:00:00,-2519.6692781042707
2025-01-22 15:00:00,-2461.987815577291
2025-01-22 16:00:00,-2500.630215125043
2025-01-22 17:00:00,-2678.463791666653
2025-01-22 18:00:00,-3026.4904276303882
2025-01-22 19:00:00,-3427.2719735324686
2025-01-22 20:00:00,-3612.082897310072
2025-01-22 21:00:00,-3427.2400304332878
2025-01-22 22:00:00,-3026.221169229154
2025-01-22 23:00:00,-2676.707927156552
2025-01-23 00:00:00,-2124.169518425521
2025-01-23 01:00:00,-2093.270915639636
2025-01-23 02:00:00,-2000.2708841167191
2025-01-23 03:00:00,-1855.6632094256067
2025-01-23 04:00:00,-1783.4490152214444
2025-01-23 05:00:00,-1885.3146511689292
2025-01-23 06:00:00,-2096.150950434672
2025-01-23 07:00:00,-2323.818323013806
2025-01-23 08:00:00,-2554.9392950709757
2025-01-23 09:00:00,-2756.7556240933336
2025-01-23 10:00:00,-2840.8508661862666
2025-01-23 11:00:00,-2757.4409106125604
2025-01-23 12:00:00,-2561.468187098796
2025-01-23 13:00:00,-2361.5493496552667
2025-01-23 14:00:00,-2229.4299941481745
2025-01-23 15:00:00,-2178.3928267780443
2025-01-23 16:00:00,-2212.5840301023286
2025-01-23 17:00:00,-2369.933057196393
2025-01-23 18:00:00,-2677.870701125523
2025-01-23 19:00:00,-3032.4864466520253
2025-01-23 20:00:00,-3196.009104286687
2025-01-23 21:00:00,-3032.4581830604347
2025-01-23 22:00:00,-2677.632458447762
2025-01-23 23:00:00,-2368.379449729534
2025-01-24 00:00:00,-2446.245072424296
2025-01-24 01:00:00,-2410.661492981073
2025-01-24 02:00:00,-2303.560403884913
2025-01-24 03:00:00,-2137.0267027940163
2025-01-24 04:00:00,-2053.863087461676
2025-01-24 05:00:00,-2171.17402136991
2025-01-24 06:00:00,-2413.97821081581
2025-01-24 07:00:00,-2676.1654719983835
2025-01-24 08:00:00,-2942.329981998431
2025-01-24 09:00:00,-3174.7465552160133
2025-01-24 10:00:00,-3271.592673098661
2025-01-24 11:00:00,-3175.535747771653
2025-01-24 12:00:00,-2949.848812210854
2025-01-24 13:00:00,-2719.6174362595025
2025-01-24 14:00:00,-2567.465586052812
2025-01-24 15:00:00,-2508.6899478060973
2025-01-24 16:00:00,-2548.065365787937
2025-01-24 17:00:00,-2729.2723169473334
2025-01-24 18:00:00,-3083.9007670504757
2025-01-24 19:00:00,-3492.2848496642155
2025-01-24 20:00:00,-3680.6015033016424
2025-01-24 21:00:00,-3492.252300627495
2025-01-24 22:00:00,-3083.626401011675
2025-01-24 23:00:00,-2727.4831449545522
