,sarawak
2025-01-04 19:00:00,-7757.76683192125
2025-01-04 20:00:00,-8176.09373032053
2025-01-04 21:00:00,-7757.694527441988
2025-01-04 22:00:00,-6849.972337767687
2025-01-04 23:00:00,-6058.835171646192
2025-01-05 00:00:00,-4621.2976831006035
2025-01-05 01:00:00,-4554.0753450400825
2025-01-05 02:00:00,-4351.746469459709
2025-01-05 03:00:00,-4037.141111360067
2025-01-05 04:00:00,-3880.033458007601
2025-01-05 05:00:00,-4101.650152583189
2025-01-05 06:00:00,-4560.3410870207
2025-01-05 07:00:00,-5055.6493438670805
2025-01-05 08:00:00,-5558.471177726855
2025-01-05 09:00:00,-5997.53845820181
2025-01-05 10:00:00,-6180.494264728929
2025-01-05 11:00:00,-5999.029352867278
2025-01-05 12:00:00,-5572.675295307709
2025-01-05 13:00:00,-5137.736156848197
2025-01-05 14:00:00,-4850.300118339261
2025-01-05 15:00:00,-4739.264750740904
2025-01-05 16:00:00,-4813.650399971976
2025-01-05 17:00:00,-5155.975571310901
2025-01-05 18:00:00,-5825.918110305599
2025-01-05 19:00:00,-6597.412526818704
2025-01-05 20:00:00,-6953.168916460172
2025-01-05 21:00:00,-6597.351037154533
2025-01-05 22:00:00,-5825.399794641431
2025-01-05 23:00:00,-5152.5955761999785
2025-01-06 00:00:00,-5648.442118635262
2025-01-06 01:00:00,-5566.278728251928
2025-01-06 02:00:00,-5318.97958826718
2025-01-06 03:00:00,-4934.449034882427
2025-01-06 04:00:00,-4742.42213092401
2025-01-06 05:00:00,-5013.296062376442
2025-01-06 06:00:00,-5573.937114128529
2025-01-06 07:00:00,-6179.33417173634
2025-01-06 08:00:00,-6793.91479806756
2025-01-06 09:00:00,-7330.57057962834
2025-01-06 10:00:00,-7554.190730136213
2025-01-06 11:00:00,-7332.392845320865
2025-01-06 12:00:00,-6811.275968349908
2025-01-06 13:00:00,-6279.665862880717
2025-01-06 14:00:00,-5928.3433691437995
2025-01-06 15:00:00,-5792.628924845135
2025-01-06 16:00:00,-5883.547766900105
2025-01-06 17:00:00,-6301.959228064076
2025-01-06 18:00:00,-7120.805343119838
2025-01-06 19:00:00,-8063.774581492031
2025-01-06 20:00:00,-8498.6025265891
2025-01-06 21:00:00,-8063.699424938009
2025-01-06 22:00:00,-7120.17182495481
2025-01-06 23:00:00,-6297.82798440602
2025-01-07 00:00:00,-5927.682351918325
2025-01-07 01:00:00,-5841.457076183937
2025-01-07 02:00:00,-5581.932287411494
2025-01-07 03:00:00,-5178.391819580179
2025-01-07 04:00:00,-4976.8717427553765
2025-01-07 05:00:00,-5261.136782449766
2025-01-07 06:00:00,-5849.494067242964
2025-01-07 07:00:00,-6484.819946292982
2025-01-07 08:00:00,-7129.783399227274
2025-01-07 09:00:00,-7692.969661669028
2025-01-07 10:00:00,-7927.6448503065485
2025-01-07 11:00:00,-7694.882014129975
2025-01-07 12:00:00,-7148.002848153164
2025-01-07 13:00:00,-6590.111703284262
2025-01-07 14:00:00,-6221.420991364666
2025-01-07 15:00:00,-6078.997275325249
2025-01-07 16:00:00,-6174.4108432058565
2025-01-07 17:00:00,-6613.507178458964
2025-01-07 18:00:00,-7472.834327999742
2025-01-07 19:00:00,-8462.420836155594
2025-01-07 20:00:00,-8918.745231827294
2025-01-07 21:00:00,-8462.341964110958
2025-01-07 22:00:00,-7472.169490799046
2025-01-07 23:00:00,-6609.1716998245
2025-01-08 00:00:00,-4527.703483684063
2025-01-08 01:00:00,-4461.842585925621
2025-01-08 02:00:00,-4263.611435795404
2025-01-08 03:00:00,-3955.3777158464864
2025-01-08 04:00:00,-3801.451931753711
2025-01-08 05:00:00,-4018.580268614971
2025-01-08 06:00:00,-4467.981429111865
2025-01-08 07:00:00,-4953.258308855345
2025-01-08 08:00:00,-5445.896594669436
2025-01-08 09:00:00,-5876.071535065042
2025-01-08 10:00:00,-6055.321974958207
2025-01-08 11:00:00,-5877.53223494493
2025-01-08 12:00:00,-5459.813039153995
2025-01-08 13:00:00,-5033.682634355572
2025-01-08 14:00:00,-4752.067979309138
2025-01-08 15:00:00,-4643.281388363991
2025-01-08 16:00:00,-4716.160520212876
2025-01-08 17:00:00,-5051.552649677269
2025-01-08 18:00:00,-5707.926979071108
2025-01-08 19:00:00,-6463.796476520477
2025-01-08 20:00:00,-6812.347804562565
2025-01-08 21:00:00,-6463.736232193932
2025-01-08 22:00:00,-5707.419160748369
2025-01-08 23:00:00,-5048.241108917947
2025-01-09 00:00:00,-5249.676496115579
2025-01-09 01:00:00,-5173.313631758076
2025-01-09 02:00:00,-4943.473180989466
2025-01-09 03:00:00,-4586.0895049697865
2025-01-09 04:00:00,-4407.619211186214
2025-01-09 05:00:00,-4659.370133208554
2025-01-09 06:00:00,-5180.431355103763
2025-01-09 07:00:00,-5743.088922870277
2025-01-09 08:00:00,-6314.281722806149
2025-01-09 09:00:00,-6813.050973476077
2025-01-09 10:00:00,-7020.88411109574
2025-01-09 11:00:00,-6814.744591853465
2025-01-09 12:00:00,-6330.417238699218
2025-01-09 13:00:00,-5836.337452244148
2025-01-09 14:00:00,-5509.8174314683965
2025-01-09 15:00:00,-5383.6840811650345
2025-01-09 16:00:00,-5468.184284613228
2025-01-09 17:00:00,-5857.05696264442
2025-01-09 18:00:00,-6618.094628226872
2025-01-09 19:00:00,-7494.492640859525
2025-01-09 20:00:00,-7898.622840883925
2025-01-09 21:00:00,-7494.422790166733
2025-01-09 22:00:00,-6617.505834830224
2025-01-09 23:00:00,-5853.217374263072
2025-01-10 00:00:00,-5129.011710977014
2025-01-10 01:00:00,-5054.404061179319
2025-01-10 02:00:00,-4829.846535678325
2025-01-10 03:00:00,-4480.6773895465085
2025-01-10 04:00:00,-4306.309268471852
2025-01-10 05:00:00,-4552.273648992685
2025-01-10 06:00:00,-5061.3581823375525
2025-01-10 07:00:00,-5611.082961851044
2025-01-10 08:00:00,-6169.146789643975
2025-01-10 09:00:00,-6656.451736844854
2025-01-10 10:00:00,-6859.507791359661
2025-01-10 11:00:00,-6658.106427090618
2025-01-10 12:00:00,-6184.911427720138
2025-01-10 13:00:00,-5702.188156531871
2025-01-10 14:00:00,-5383.173258820274
2025-01-10 15:00:00,-5259.939106900741
2025-01-10 16:00:00,-5342.497057545204
2025-01-10 17:00:00,-5722.431425153727
2025-01-10 18:00:00,-6465.976499246434
2025-01-10 19:00:00,-7322.230341477645
2025-01-10 20:00:00,-7717.071534114634
2025-01-10 21:00:00,-7322.162096315949
2025-01-10 22:00:00,-6465.401239374898
2025-01-10 23:00:00,-5718.680090421417
2025-01-11 00:00:00,-5129.787550236878
2025-01-11 01:00:00,-5055.168614923168
2025-01-11 02:00:00,-4830.577121758578
2025-01-11 03:00:00,-4481.3551586032945
2025-01-11 04:00:00,-4306.960661758486
2025-01-11 05:00:00,-4552.962248047933
2025-01-11 06:00:00,-5062.123787995596
2025-01-11 07:00:00,-5611.931721553197
2025-01-11 08:00:00,-6170.079964795248
2025-01-11 09:00:00,-6657.458624112779
2025-01-11 10:00:00,-6860.545393874095
2025-01-11 11:00:00,-6659.11356465504
2025-01-11 12:00:00,-6185.846987507246
2025-01-11 13:00:00,-5703.050697248925
2025-01-11 14:00:00,-5383.987543792154
2025-01-11 15:00:00,-5260.734750875366
2025-01-11 16:00:00,-5343.305189637024
2025-01-11 17:00:00,-5723.297027966058
2025-01-11 18:00:00,-6466.954574303415
2025-01-11 19:00:00,-7323.3379376557805
2025-01-11 20:00:00,-7718.238855892146
2025-01-11 21:00:00,-7323.269682170985
2025-01-11 22:00:00,-6466.379227415273
2025-01-11 23:00:00,-5719.545125788611
2025-01-12 00:00:00,-4838.3338639105405
2025-01-12 01:00:00,-4767.954473325331
2025-01-12 02:00:00,-4556.123356289248
2025-01-12 03:00:00,-4226.742766194927
2025-01-12 04:00:00,-4062.2566560976534
2025-01-12 05:00:00,-4294.281431756244
2025-01-12 06:00:00,-4774.514481722585
2025-01-12 07:00:00,-5293.08456235986
2025-01-12 08:00:00,-5819.521090171908
2025-01-12 09:00:00,-6279.208874281886
2025-01-12 10:00:00,-6470.75707892498
2025-01-12 11:00:00,-6280.769787826543
2025-01-12 12:00:00,-5834.392294714677
2025-01-12 13:00:00,-5379.026528072089
2025-01-12 14:00:00,-5078.091246644166
2025-01-12 15:00:00,-4961.841176645985
2025-01-12 16:00:00,-5039.720298560112
2025-01-12 17:00:00,-5398.1225445385235
2025-01-12 18:00:00,-6099.528490566543
2025-01-12 19:00:00,-6907.255630690703
2025-01-12 20:00:00,-7279.719883231562
2025-01-12 21:00:00,-6907.191253205233
2025-01-12 22:00:00,-6098.985832550957
2025-01-12 23:00:00,-5394.583810198856
2025-01-13 00:00:00,-5925.374624872386
2025-01-13 01:00:00,-5839.1829178059925
2025-01-13 02:00:00,-5579.759165549781
2025-01-13 03:00:00,-5176.3758014896275
2025-01-13 04:00:00,-4974.934179160863
2025-01-13 05:00:00,-5259.0885506241675
2025-01-13 06:00:00,-5847.216779955518
2025-01-13 07:00:00,-6482.295318033633
2025-01-13 08:00:00,-7127.007677957937
2025-01-13 09:00:00,-7689.974684357856
2025-01-13 10:00:00,-7924.558510765137
2025-01-13 11:00:00,-7691.886292314084
2025-01-13 12:00:00,-7145.220033805532
2025-01-13 13:00:00,-6587.546083517457
2025-01-13 14:00:00,-6218.998907886914
2025-01-13 15:00:00,-6076.630639329662
2025-01-13 16:00:00,-6172.00706141566
2025-01-13 17:00:00,-6610.932450516718
2025-01-13 18:00:00,-7469.925052356292
2025-01-13 19:00:00,-8459.12630107792
2025-01-13 20:00:00,-8915.273043480247
2025-01-13 21:00:00,-8459.047459739239
2025-01-13 22:00:00,-7469.260473985724
2025-01-13 23:00:00,-6606.598659742823
2025-01-14 00:00:00,-5670.4835975440565
2025-01-14 01:00:00,-5587.999587315787
2025-01-14 02:00:00,-5339.735431019698
2025-01-14 03:00:00,-4953.7043537906375
2025-01-14 04:00:00,-4760.928118093552
2025-01-14 05:00:00,-5032.8590599431245
2025-01-14 06:00:00,-5595.687857919402
2025-01-14 07:00:00,-6203.447309652256
2025-01-14 08:00:00,-6820.426166438619
2025-01-14 09:00:00,-7359.176098358405
2025-01-14 10:00:00,-7583.6688644879805
2025-01-14 11:00:00,-7361.005474937433
2025-01-14 12:00:00,-6837.855083873294
2025-01-14 13:00:00,-6304.17051739675
2025-01-14 14:00:00,-5951.477085058844
2025-01-14 15:00:00,-5815.2330527784325
2025-01-14 16:00:00,-5906.506680400372
2025-01-14 17:00:00,-6326.55087625521
2025-01-14 18:00:00,-7148.592311187757
2025-01-14 19:00:00,-8095.241225502924
2025-01-14 20:00:00,-8531.765966066692
2025-01-14 21:00:00,-8095.165775671292
2025-01-14 22:00:00,-7147.956320893782
2025-01-14 23:00:00,-6322.403511564479
2025-01-15 00:00:00,-5840.543568220397
2025-01-15 01:00:00,-5755.585830995235
2025-01-15 02:00:00,-5499.876137750941
2025-01-15 03:00:00,-5102.2678409524315
2025-01-15 04:00:00,-4903.71017225659
2025-01-15 05:00:00,-5183.796426999927
2025-01-15 06:00:00,-5763.5046757731525
2025-01-15 07:00:00,-6389.491065784203
2025-01-15 08:00:00,-7024.973354330504
2025-01-15 09:00:00,-7579.880602649871
2025-01-15 10:00:00,-7811.105992649761
2025-01-15 11:00:00,-7581.7648429318
2025-01-15 12:00:00,-7042.924971661383
2025-01-15 13:00:00,-6493.235001031175
2025-01-15 14:00:00,-6129.964157837676
2025-01-15 15:00:00,-5989.634114948844
2025-01-15 16:00:00,-6083.645073553214
2025-01-15 17:00:00,-6516.286555406865
2025-01-15 18:00:00,-7362.981327204704
2025-01-15 19:00:00,-8338.020604324016
2025-01-15 20:00:00,-8787.636888722232
2025-01-15 21:00:00,-8337.942891723094
2025-01-15 22:00:00,-7362.3262633187
2025-01-15 23:00:00,-6512.014809663695
2025-01-16 00:00:00,-5120.229630848735
2025-01-16 01:00:00,-5045.749726978643
2025-01-16 02:00:00,-4821.576697028348
2025-01-16 03:00:00,-4473.005410989752
2025-01-16 04:00:00,-4298.935849344744
2025-01-16 05:00:00,-4544.4790807202535
2025-01-16 06:00:00,-5052.691941038068
2025-01-16 07:00:00,-5601.475461819031
2025-01-16 08:00:00,-6158.583752458112
2025-01-16 09:00:00,-6645.054318430328
2025-01-16 10:00:00,-6847.762692993953
2025-01-16 11:00:00,-6646.70617545536
2025-01-16 12:00:00,-6174.321397748417
2025-01-16 13:00:00,-5692.424662876745
2025-01-16 14:00:00,-5373.9559940590725
2025-01-16 15:00:00,-5250.932848130106
2025-01-16 16:00:00,-5333.349440053117
2025-01-16 17:00:00,-5712.633270238865
2025-01-16 18:00:00,-6454.905219451453
2025-01-16 19:00:00,-7309.692952756353
2025-01-16 20:00:00,-7703.858083963366
2025-01-16 21:00:00,-7309.624824446499
2025-01-16 22:00:00,-6454.330944560762
2025-01-16 23:00:00,-5708.888358678128
2025-01-17 00:00:00,-4555.487413792343
2025-01-17 01:00:00,-4489.22236532333
2025-01-17 02:00:00,-4289.774783852071
2025-01-17 03:00:00,-3979.6496096233086
2025-01-17 04:00:00,-3824.779270914157
2025-01-17 05:00:00,-4043.240000357578
2025-01-17 06:00:00,-4495.398879083774
2025-01-17 07:00:00,-4983.653625853781
2025-01-17 08:00:00,-5479.314951438706
2025-01-17 09:00:00,-5912.129629732641
2025-01-17 10:00:00,-6092.480027189685
2025-01-17 11:00:00,-5913.599293093357
2025-01-17 12:00:00,-5493.316793194157
2025-01-17 13:00:00,-5064.5714695021725
2025-01-17 14:00:00,-4781.228706172705
2025-01-17 15:00:00,-4671.774554056551
2025-01-17 16:00:00,-4745.100903509886
2025-01-17 17:00:00,-5082.551142900756
2025-01-17 18:00:00,-5742.95326664077
2025-01-17 19:00:00,-6503.4611034521995
2025-01-17 20:00:00,-6854.151291906056
2025-01-17 21:00:00,-6503.4004894406335
2025-01-17 22:00:00,-5742.442332127046
2025-01-17 23:00:00,-5079.219281107306
2025-01-18 00:00:00,-4504.719493680984
2025-01-18 01:00:00,-4439.192925725968
2025-01-18 02:00:00,-4241.968056768826
2025-01-18 03:00:00,-3935.299024252166
2025-01-18 04:00:00,-3782.1546139166494
2025-01-18 05:00:00,-3998.1807417790696
2025-01-18 06:00:00,-4445.300606290602
2025-01-18 07:00:00,-4928.114074065313
2025-01-18 08:00:00,-5418.2515791906735
2025-01-18 09:00:00,-5846.242821699423
2025-01-18 10:00:00,-6024.58333223582
2025-01-18 11:00:00,-5847.69610662567
2025-01-18 12:00:00,-5432.097379601021
2025-01-18 13:00:00,-5008.130141405533
2025-01-18 14:00:00,-4727.945047380406
2025-01-18 15:00:00,-4619.710690018523
2025-01-18 16:00:00,-4692.219865388613
2025-01-18 17:00:00,-5025.909443133685
2025-01-18 18:00:00,-5678.951818242216
2025-01-18 19:00:00,-6430.984293891105
2025-01-18 20:00:00,-6777.76627014853
2025-01-18 21:00:00,-6430.924355382951
2025-01-18 22:00:00,-5678.446577758617
2025-01-18 23:00:00,-5022.614712755164
2025-01-19 00:00:00,-5208.392633081812
2025-01-19 01:00:00,-5132.630292210915
2025-01-19 02:00:00,-4904.597324569346
2025-01-19 03:00:00,-4550.024141489988
2025-01-19 04:00:00,-4372.957351935601
2025-01-19 05:00:00,-4622.728485185989
2025-01-19 06:00:00,-5139.6920412282925
2025-01-19 07:00:00,-5697.924826252523
2025-01-19 08:00:00,-6264.6257217184975
2025-01-19 09:00:00,-6759.4726123257915
2025-01-19 10:00:00,-6965.671334035497
2025-01-19 11:00:00,-6761.152911956932
2025-01-19 12:00:00,-6280.634346663409
2025-01-19 13:00:00,-5790.440041960759
2025-01-19 14:00:00,-5466.487799947273
2025-01-19 15:00:00,-5341.346372091279
2025-01-19 16:00:00,-5425.182059387272
2025-01-19 17:00:00,-5810.996612524619
2025-01-19 18:00:00,-6566.049418892853
2025-01-19 19:00:00,-7435.555369596858
2025-01-19 20:00:00,-7836.507458391366
2025-01-19 21:00:00,-7435.48606821533
2025-01-19 22:00:00,-6565.465255813131
2025-01-19 23:00:00,-5807.18721896403
2025-01-20 00:00:00,-5433.501693367779
2025-01-20 01:00:00,-5354.464870221833
2025-01-20 02:00:00,-5116.5762156771725
2025-01-20 03:00:00,-4746.678220958497
2025-01-20 04:00:00,-4561.958525524613
2025-01-20 05:00:00,-4822.524878923234
2025-01-20 06:00:00,-5361.831831191778
2025-01-20 07:00:00,-5944.191686986259
2025-01-20 08:00:00,-6535.385648745139
2025-01-20 09:00:00,-7051.620043401667
2025-01-20 10:00:00,-7266.730766134765
2025-01-20 11:00:00,-7053.372966334779
2025-01-20 12:00:00,-6552.08617362381
2025-01-20 13:00:00,-6040.7054517166935
2025-01-20 14:00:00,-5702.751848839207
2025-01-20 15:00:00,-5572.201752472205
2025-01-20 16:00:00,-5659.66085568845
2025-01-20 17:00:00,-6062.150486459107
2025-01-20 18:00:00,-6849.837012994338
2025-01-20 19:00:00,-7756.923399979739
2025-01-20 20:00:00,-8175.204817472498
2025-01-20 21:00:00,-7756.851103361491
2025-01-20 22:00:00,-6849.2276021249045
2025-01-20 23:00:00,-6058.1764492041775
2025-01-21 00:00:00,-5245.852100560474
2025-01-21 01:00:00,-5169.5448666402435
2025-01-21 02:00:00,-4939.871854912678
2025-01-21 03:00:00,-4582.748533324944
2025-01-21 04:00:00,-4404.40825536211
2025-01-21 05:00:00,-4655.975776539107
2025-01-21 06:00:00,-5176.65740471603
2025-01-21 07:00:00,-5738.905075776946
2025-01-21 08:00:00,-6309.68176108046
2025-01-21 09:00:00,-6808.087657759585
2025-01-21 10:00:00,-7015.76938869194
2025-01-21 11:00:00,-6809.780042333977
2025-01-21 12:00:00,-6325.805522231059
2025-01-21 13:00:00,-5832.085673486549
2025-01-21 14:00:00,-5505.803522933283
2025-01-21 15:00:00,-5379.762060925248
2025-01-21 16:00:00,-5464.200705874986
2025-01-21 17:00:00,-5852.790089698916
2025-01-21 18:00:00,-6613.273338439172
2025-01-21 19:00:00,-7489.032894079951
2025-01-21 20:00:00,-7892.868684774216
2025-01-21 21:00:00,-7488.963094273472
2025-01-21 22:00:00,-6612.6849739792115
2025-01-21 23:00:00,-5848.9532984622565
2025-01-22 00:00:00,-4650.946926787757
2025-01-22 01:00:00,-4583.293304785135
2025-01-22 02:00:00,-4379.666331019275
2025-01-22 03:00:00,-4063.042533172354
2025-01-22 04:00:00,-3904.926911188826
2025-01-22 05:00:00,-4127.965450413513
2025-01-22 06:00:00,-4589.5992464074125
2025-01-22 07:00:00,-5088.085293609345
2025-01-22 08:00:00,-5594.133123305279
2025-01-22 09:00:00,-6036.017364228695
2025-01-22 10:00:00,-6220.146975531805
2025-01-22 11:00:00,-6037.517824150997
2025-01-22 12:00:00,-5608.428371424001
2025-01-22 13:00:00,-5170.698757779906
2025-01-22 14:00:00,-4881.418591985817
2025-01-22 15:00:00,-4769.670845549834
2025-01-22 16:00:00,-4844.5337369739245
2025-01-22 17:00:00,-5189.055192370114
2025-01-22 18:00:00,-5863.295937400683
2025-01-22 19:00:00,-6639.740094771669
2025-01-22 20:00:00,-6997.778940254126
2025-01-22 21:00:00,-6639.678210603147
2025-01-22 22:00:00,-5862.774296335623
2025-01-22 23:00:00,-5185.653511943601
2025-01-23 00:00:00,-5947.884172537884
2025-01-23 01:00:00,-5861.365037003013
2025-01-23 02:00:00,-5600.955775528114
2025-01-23 03:00:00,-5196.04002277769
2025-01-23 04:00:00,-4993.83315604048
2025-01-23 05:00:00,-5279.06698437761
2025-01-23 06:00:00,-5869.429418506072
2025-01-23 07:00:00,-6506.920518072568
2025-01-23 08:00:00,-7154.082036829014
2025-01-23 09:00:00,-7719.187664576429
2025-01-23 10:00:00,-7954.662637308857
2025-01-23 11:00:00,-7721.106534424625
2025-01-23 12:00:00,-7172.36357849489
2025-01-23 13:00:00,-6612.571114330388
2025-01-23 14:00:00,-6242.62388710108
2025-01-23 15:00:00,-6099.714784329955
2025-01-23 16:00:00,-6195.453526143403
2025-01-23 17:00:00,-6636.046322386295
2025-01-23 18:00:00,-7498.302099322724
2025-01-23 19:00:00,-8491.261164902951
2025-01-23 20:00:00,-8949.140735605699
2025-01-23 21:00:00,-8491.182024058673
2025-01-23 22:00:00,-7497.634996325538
2025-01-23 23:00:00,-6631.696068236467
2025-01-24 00:00:00,-5939.195886655821
2025-01-24 01:00:00,-5852.803132698327
2025-01-24 02:00:00,-5592.7742602902645
2025-01-24 03:00:00,-5188.449982376268
2025-01-24 04:00:00,-4986.53848639857
2025-01-24 05:00:00,-5271.355663541437
2025-01-24 06:00:00,-5860.855734272604
2025-01-24 07:00:00,-6497.415627924588
2025-01-24 08:00:00,-7143.6318148413875
2025-01-24 09:00:00,-7707.911972706572
2025-01-24 10:00:00,-7943.042978774242
2025-01-24 11:00:00,-7709.828039593357
2025-01-24 12:00:00,-7161.886652009368
2025-01-24 13:00:00,-6602.911896600151
2025-01-24 14:00:00,-6233.505064438769
2025-01-24 15:00:00,-6090.804714075058
2025-01-24 16:00:00,-6186.403606904439
2025-01-24 17:00:00,-6626.352813585012
2025-01-24 18:00:00,-7487.349062851403
2025-01-24 19:00:00,-8478.857677820843
2025-01-24 20:00:00,-8936.068407555204
2025-01-24 21:00:00,-8478.77865258041
2025-01-24 22:00:00,-7486.682934315283
2025-01-24 23:00:00,-6622.008914006089
